"Plot Title: G9903341_RSA_Robokelp_Apr15"
"#","Date Time, GMT+08:00","X Accel, g (LGR S/N: 9903341, SEN S/N: 9903341)","Y Accel, g (LGR S/N: 9903341, SEN S/N: 9903341)","Z Accel, g (LGR S/N: 9903341, SEN S/N: 9903341)","End Of File (LGR S/N: 9903341)"
297,04/25/15 05:24:40 AM,-0.325,-0.300,0.850,
298,04/25/15 05:24:45 AM,0.150,-0.075,1.100,
299,04/25/15 05:24:50 AM,-0.150,-0.025,0.975,
300,04/25/15 05:24:55 AM,-0.050,-0.150,1.000,
301,04/25/15 05:25:00 AM,0.075,-0.100,1.025,
302,04/25/15 05:25:05 AM,-0.025,-0.125,0.975,
303,04/25/15 05:25:10 AM,0.050,-0.125,1.000,
304,04/25/15 05:25:15 AM,0.050,-0.125,1.000,
305,04/25/15 05:25:20 AM,0.000,-0.075,1.025,
306,04/25/15 05:25:25 AM,-0.200,-0.150,0.950,
307,04/25/15 05:25:30 AM,0.000,-0.150,1.000,
308,04/25/15 05:25:35 AM,0.050,-0.100,1.050,
309,04/25/15 05:25:40 AM,0.025,-0.125,1.000,
310,04/25/15 05:25:45 AM,0.000,-0.150,1.000,
311,04/25/15 05:25:50 AM,0.150,-0.150,1.075,
312,04/25/15 05:25:55 AM,0.025,-0.150,1.025,
313,04/25/15 05:26:00 AM,0.125,-0.050,0.975,
314,04/25/15 05:26:05 AM,-0.075,-0.175,1.000,
315,04/25/15 05:26:10 AM,-0.075,-0.075,0.925,
316,04/25/15 05:26:15 AM,0.125,-0.125,1.050,
317,04/25/15 05:26:20 AM,-0.175,-0.100,0.925,
318,04/25/15 05:26:25 AM,-0.100,-0.075,0.925,
319,04/25/15 05:26:30 AM,-0.175,-0.075,0.900,
320,04/25/15 05:26:35 AM,0.050,-0.175,1.000,
321,04/25/15 05:26:40 AM,0.075,-0.050,1.025,
322,04/25/15 05:26:45 AM,-0.075,-0.175,1.000,
323,04/25/15 05:26:50 AM,0.000,-0.200,1.000,
324,04/25/15 05:26:55 AM,-0.150,-0.175,1.025,
325,04/25/15 05:27:00 AM,0.000,-0.075,0.975,
326,04/25/15 05:27:05 AM,-0.025,-0.150,1.025,
327,04/25/15 05:27:10 AM,0.025,-0.125,1.075,
328,04/25/15 05:27:15 AM,-0.050,-0.125,1.025,
329,04/25/15 05:27:20 AM,-0.100,-0.075,0.975,
330,04/25/15 05:27:25 AM,0.025,-0.125,1.050,
331,04/25/15 05:27:30 AM,0.025,-0.125,1.050,
332,04/25/15 05:27:35 AM,0.000,-0.175,1.050,
333,04/25/15 05:27:40 AM,0.050,-0.175,1.025,
334,04/25/15 05:27:45 AM,0.125,-0.100,1.025,
335,04/25/15 05:27:50 AM,0.000,-0.150,1.025,
336,04/25/15 05:27:55 AM,-0.025,-0.075,1.025,
337,04/25/15 05:28:00 AM,0.050,-0.125,1.050,
338,04/25/15 05:28:05 AM,0.025,-0.075,0.975,
339,04/25/15 05:28:10 AM,0.025,-0.175,1.050,
340,04/25/15 05:28:15 AM,0.000,-0.125,0.975,
341,04/25/15 05:28:20 AM,0.025,-0.150,1.025,
342,04/25/15 05:28:25 AM,-0.100,-0.200,1.000,
343,04/25/15 05:28:30 AM,0.000,-0.025,0.975,
344,04/25/15 05:28:35 AM,0.025,-0.175,1.025,
345,04/25/15 05:28:40 AM,-0.125,-0.150,0.975,
346,04/25/15 05:28:45 AM,0.600,-0.100,0.825,
347,04/25/15 05:28:50 AM,-0.075,-0.075,1.000,
348,04/25/15 05:28:55 AM,0.300,-0.875,0.100,
349,04/25/15 05:29:00 AM,0.075,-0.125,0.975,
350,04/25/15 05:29:05 AM,0.050,-0.075,1.100,
351,04/25/15 05:29:10 AM,0.025,-0.075,1.025,
352,04/25/15 05:29:15 AM,0.050,-0.125,1.075,
353,04/25/15 05:29:20 AM,0.025,-0.125,1.025,
354,04/25/15 05:29:25 AM,-0.075,-0.125,1.025,
355,04/25/15 05:29:30 AM,0.050,-0.150,1.050,
356,04/25/15 05:29:35 AM,-0.150,-0.150,1.000,
357,04/25/15 05:29:40 AM,0.000,-0.075,1.000,
358,04/25/15 05:29:45 AM,0.025,-0.075,1.000,
359,04/25/15 05:29:50 AM,-0.100,-0.200,1.025,
360,04/25/15 05:29:55 AM,0.000,-0.100,0.925,
361,04/25/15 05:30:00 AM,0.025,-0.100,1.000,
362,04/25/15 05:30:05 AM,-0.150,-0.050,1.025,
363,04/25/15 05:30:10 AM,-0.200,-0.100,1.000,
364,04/25/15 05:30:15 AM,-0.150,-0.250,1.000,
365,04/25/15 05:30:20 AM,-0.150,-0.125,0.925,
366,04/25/15 05:30:25 AM,0.025,-0.125,0.975,
367,04/25/15 05:30:30 AM,0.125,-0.025,1.025,
368,04/25/15 05:30:35 AM,-0.025,-0.100,0.975,
369,04/25/15 05:30:40 AM,-0.150,-0.175,1.025,
370,04/25/15 05:30:45 AM,0.000,-0.075,1.050,
371,04/25/15 05:30:50 AM,-0.100,-0.025,0.900,
372,04/25/15 05:30:55 AM,-0.125,-0.025,0.950,
373,04/25/15 05:31:00 AM,-0.050,-0.150,0.975,
374,04/25/15 05:31:05 AM,0.225,-0.075,1.050,
375,04/25/15 05:31:10 AM,-0.025,-0.225,1.025,
376,04/25/15 05:31:15 AM,-0.150,-0.125,0.950,
