"Plot Title: G9903339_RSA_Robokelp_Apr15"
"#","Date Time, GMT+08:00","X Accel, g (LGR S/N: 9903339, SEN S/N: 9903339)","Y Accel, g (LGR S/N: 9903339, SEN S/N: 9903339)","Z Accel, g (LGR S/N: 9903339, SEN S/N: 9903339)","End Of File (LGR S/N: 9903339)"
377,04/25/15 05:31:20 AM,0.975,-0.025,-0.150,
378,04/25/15 05:31:25 AM,0.950,0.025,-0.325,
379,04/25/15 05:31:30 AM,0.975,-0.025,-0.225,
380,04/25/15 05:31:35 AM,0.975,0.000,-0.225,
381,04/25/15 05:31:40 AM,0.975,-0.075,-0.100,
382,04/25/15 05:31:45 AM,0.925,0.100,-0.350,
383,04/25/15 05:31:50 AM,0.975,-0.075,-0.075,
384,04/25/15 05:31:55 AM,0.950,0.025,-0.350,
385,04/25/15 05:32:00 AM,0.975,-0.100,-0.125,
386,04/25/15 05:32:05 AM,0.950,0.050,-0.275,
387,04/25/15 05:32:10 AM,0.975,-0.075,-0.125,
388,04/25/15 05:32:15 AM,0.975,0.050,-0.250,
389,04/25/15 05:32:20 AM,0.975,-0.025,-0.225,
390,04/25/15 05:32:25 AM,0.975,0.025,-0.175,
391,04/25/15 05:32:30 AM,0.975,-0.075,-0.175,
392,04/25/15 05:32:35 AM,0.975,-0.075,-0.200,
393,04/25/15 05:32:40 AM,0.975,-0.025,-0.225,
394,04/25/15 05:32:45 AM,0.975,-0.025,-0.175,
395,04/25/15 05:32:50 AM,0.975,-0.025,-0.225,
396,04/25/15 05:32:55 AM,0.975,-0.025,-0.175,
397,04/25/15 05:33:00 AM,0.975,-0.025,-0.125,
398,04/25/15 05:33:05 AM,0.975,0.025,-0.075,
399,04/25/15 05:33:10 AM,0.975,0.025,-0.075,
400,04/25/15 05:33:15 AM,0.975,0.050,-0.025,
401,04/25/15 05:33:20 AM,0.975,0.050,-0.125,
402,04/25/15 05:33:25 AM,0.975,0.025,0.050,
403,04/25/15 05:33:30 AM,0.975,0.050,-0.200,
404,04/25/15 05:33:35 AM,0.975,0.050,-0.125,
405,04/25/15 05:33:40 AM,0.975,0.025,-0.125,
406,04/25/15 05:33:45 AM,0.950,0.075,-0.300,
407,04/25/15 05:33:50 AM,0.975,0.025,-0.225,
408,04/25/15 05:33:55 AM,0.950,-0.075,-0.250,
409,04/25/15 05:34:00 AM,0.975,0.025,-0.200,
410,04/25/15 05:34:05 AM,0.975,-0.075,-0.250,
411,04/25/15 05:34:10 AM,0.950,0.100,-0.275,
412,04/25/15 05:34:15 AM,0.975,-0.125,-0.075,
413,04/25/15 05:34:20 AM,0.975,0.025,-0.225,
414,04/25/15 05:34:25 AM,0.975,-0.075,-0.100,
415,04/25/15 05:34:30 AM,0.975,-0.025,-0.175,
416,04/25/15 05:34:35 AM,0.975,-0.025,-0.275,
417,04/25/15 05:34:40 AM,0.975,-0.075,-0.025,
418,04/25/15 05:34:45 AM,0.975,-0.025,-0.200,
419,04/25/15 05:34:50 AM,0.975,-0.025,-0.250,
