"Plot Title: G10091230_RSA_Robokelp_Apr15"
"#","Date Time, GMT+08:00","Max: X Accel, g (LGR S/N: 10091230)","Max: Y Accel, g (LGR S/N: 10091230)","Max: Z Accel, g (LGR S/N: 10091230)","End Of File (LGR S/N: 10091230)"
401,04/25/15 06:20:00 PM,0.975,0.150,-0.225,
402,04/25/15 06:22:00 PM,0.975,0.075,-0.225,
403,04/25/15 06:24:00 PM,0.975,0.125,-0.200,
404,04/25/15 06:26:00 PM,0.975,0.100,-0.175,
405,04/25/15 06:28:00 PM,0.975,0.150,-0.175,
406,04/25/15 06:30:00 PM,0.975,0.150,-0.225,
407,04/25/15 06:32:00 PM,0.975,0.100,-0.200,
408,04/25/15 06:34:00 PM,0.975,0.125,-0.225,
409,04/25/15 06:36:00 PM,0.975,0.075,-0.200,
410,04/25/15 06:38:00 PM,0.975,0.125,-0.200,
411,04/25/15 06:40:00 PM,0.975,0.125,-0.200,
412,04/25/15 06:42:00 PM,0.975,0.125,-0.225,
413,04/25/15 06:44:00 PM,0.975,0.100,-0.225,
414,04/25/15 06:46:00 PM,0.975,0.125,-0.225,
415,04/25/15 06:48:00 PM,0.975,0.100,-0.225,
416,04/25/15 06:50:00 PM,0.975,0.100,-0.200,
417,04/25/15 06:52:00 PM,0.975,0.075,-0.200,
418,04/25/15 06:54:00 PM,0.975,0.100,-0.200,
419,04/25/15 06:56:00 PM,0.975,0.125,-0.225,
420,04/25/15 06:58:00 PM,0.975,0.100,-0.225,
421,04/25/15 07:00:00 PM,0.975,0.100,-0.225,
422,04/25/15 07:02:00 PM,0.975,0.125,-0.200,
423,04/25/15 07:04:00 PM,0.975,0.075,-0.225,
424,04/25/15 07:06:00 PM,0.975,0.125,-0.225,
425,04/25/15 07:08:00 PM,0.975,0.100,-0.225,
426,04/25/15 07:10:00 PM,0.975,0.125,-0.200,
427,04/25/15 07:12:00 PM,0.975,0.125,-0.200,
428,04/25/15 07:14:00 PM,0.975,0.125,-0.225,
429,04/25/15 07:16:00 PM,0.975,0.100,-0.225,
